Sample	Total_Mutations	Non_Synonymous_Mutations	TMB_Total_Normalized	TMB_Non_Synonymous_Normalized
TCGA-AB-2988	15	13	0.248110	0.215029
TCGA-AB-2869	12	8	0.198488	0.132326
TCGA-AB-3009	42	34	0.694709	0.562384
TCGA-AB-2830	17	13	0.281192	0.215029
TCGA-AB-2887	15	12	0.248110	0.198488
TCGA-AB-2920	11	9	0.181948	0.148866
TCGA-AB-2934	10	8	0.165407	0.132326
TCGA-AB-2905	23	17	0.380436	0.281192
TCGA-AB-2999	11	9	0.181948	0.148866
TCGA-AB-2898	19	12	0.314273	0.198488
TCGA-AB-2950	13	9	0.215029	0.148866
TCGA-AB-2923	23	20	0.380436	0.330814
TCGA-AB-2847	10	5	0.165407	0.082703
TCGA-AB-2973	4	2	0.066163	0.033081
TCGA-AB-2931	11	10	0.181948	0.165407
TCGA-AB-2936	10	5	0.165407	0.082703
TCGA-AB-2854	11	9	0.181948	0.148866
TCGA-AB-2906	15	10	0.248110	0.165407
TCGA-AB-2819	16	10	0.264651	0.165407
TCGA-AB-2894	5	3	0.082703	0.049622
TCGA-AB-2945	13	12	0.215029	0.198488
TCGA-AB-2913	16	10	0.264651	0.165407
TCGA-AB-2996	18	12	0.297732	0.198488
TCGA-AB-2952	15	14	0.248110	0.231570
TCGA-AB-2805	15	11	0.248110	0.181948
TCGA-AB-2833	8	7	0.132326	0.115785
TCGA-AB-2862	11	5	0.181948	0.082703
TCGA-AB-2890	8	6	0.132326	0.099244
TCGA-AB-2832	10	8	0.165407	0.132326
TCGA-AB-2911	2	2	0.033081	0.033081
TCGA-AB-2912	22	19	0.363895	0.314273
TCGA-AB-3001	12	10	0.198488	0.165407
TCGA-AB-2910	12	10	0.198488	0.165407
TCGA-AB-2992	9	8	0.148866	0.132326
TCGA-AB-2901	8	6	0.132326	0.099244
TCGA-AB-2822	22	17	0.363895	0.281192
TCGA-AB-2964	19	14	0.314273	0.231570
TCGA-AB-2915	24	14	0.396977	0.231570
TCGA-AB-2807	29	25	0.479680	0.413517
TCGA-AB-2997	12	9	0.198488	0.148866
TCGA-AB-2926	14	13	0.231570	0.215029
TCGA-AB-2897	7	5	0.115785	0.082703
TCGA-AB-2927	27	18	0.446599	0.297732
TCGA-AB-2895	16	11	0.264651	0.181948
TCGA-AB-2929	16	12	0.264651	0.198488
TCGA-AB-2899	16	12	0.264651	0.198488
TCGA-AB-2882	17	15	0.281192	0.248110
TCGA-AB-2935	10	8	0.165407	0.132326
TCGA-AB-2907	16	14	0.264651	0.231570
TCGA-AB-2853	9	6	0.148866	0.099244
TCGA-AB-2889	5	2	0.082703	0.033081
TCGA-AB-2900	20	17	0.330814	0.281192
TCGA-AB-2976	22	15	0.363895	0.248110
TCGA-AB-2990	9	8	0.148866	0.132326
