Signature	Aetiology
SBS1	spontaneous or enzymatic deamination of 5-methylcytosine
SBS2	APOBEC Cytidine Deaminase (C>T)
SBS3	Defects in DNA-DSB repair by HR
SBS4	exposure to tobacco (smoking) mutagens
SBS5	Unknown
SBS6	defective DNA mismatch repair
SBS7a	UV exposure
SBS7b	UV exposure
SBS7c	UV exposure
SBS7d	UV exposure
SBS8	Unknown
SBS9	defects in polymerase-eta
SBS10a	Polymerase epsilon exonuclease domain mutations
SBS10b	Polymerase epsilon exonuclease domain mutations
SBS11	exposure to alkylating agents
SBS12	Unknown
SBS13	APOBEC Cytidine Deaminase (C>G)
SBS14	Concurrent polymerase epsilon mutation and defective DNA mismatch repair
SBS15	Defective DNA mismatch repair
SBS16	Unknown
SBS17a	Unknown
SBS17b	Unknown
SBS18	Possibly damage by reactive oxygen species
SBS19	Unknown
SBS20	Concurrent POLD1 mutations and defective DNA mismatch repair
SBS21	DNA mismatch repair deficiency
SBS22	exposure to aristolochic acid
SBS23	Unknown
SBS24	exposures to aflatoxin
SBS25	Possible exposure to chemotherapy
SBS26	Defective DNA mismatch repair
SBS28	Unknown
SBS29	exposure to tobacco (chewing) mutagens
SBS30	deficiency in base excision repair due to inactivating mutations in NTHL1
SBS31	Prior chemotherapy treatment with platinum drugs
SBS32	Prior treatment with azathioprine to induce immunosuppression
SBS33	Unknown
SBS34	Unknown
SBS35	Prior chemotherapy treatment with platinum drugs.
SBS36	Defective base excision repair due to biallelic germline or somatic MUTYH mutations
SBS37	Unknown
SBS38	Potential indirect damage from UV-light
SBS39	Unknown
SBS40	Unknown
SBS41	Unknown
SBS42	Occupational exposure to haloalkanes
SBS44	Defective DNA mismatch repair
SBS84	Activity of activation-induced cytidine deaminase (AID)
SBS85	Indirect effects of activation-induced cytidine deaminase (AID)
SBS27	Possible sequencing artefact.
SBS43	Possible sequencing artefact
SBS45	Possible sequencing artefact
SBS46	Possible sequencing artefact
SBS47	Possible sequencing artefact
SBS48	Possible sequencing artefact
SBS49	Possible sequencing artefact
SBS50	Possible sequencing artefact
SBS51	Possible sequencing artefact
SBS52	Possible sequencing artefact
SBS53	Possible sequencing artefact
SBS54	Possible sequencing artefact
SBS55	Possible sequencing artefact
SBS56	Possible sequencing artefact
SBS57	Possible sequencing artefact
SBS58	Possible sequencing artefact
SBS59	Possible sequencing artefact
SBS60	Possible sequencing artefact
